Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
14.1500       -451.5297    -453.8379       2.3082   288.0
14.2000       -451.7465    -454.0701       2.3236   289.9
14.2500       -451.6339    -453.9379       2.3040   287.5
14.3000       -451.7371    -453.8936       2.1564   269.1
14.3500       -451.8801    -453.9989       2.1188   264.4
14.4000       -451.6523    -453.9848       2.3325   291.0
14.4500       -451.6544    -453.9796       2.3252   290.1
14.5000       -451.2344    -453.8287       2.5944   323.7
14.5500       -451.6654    -454.2977       2.6323   328.5
14.6000       -451.5855    -453.9092       2.3237   290.0
14.6500       -451.9030    -454.2246       2.3217   289.7
14.7000       -451.6874    -454.0978       2.4105   300.8
14.7500       -451.7563    -454.2169       2.4606   307.0
14.8000       -451.5765    -454.0563       2.4798   309.4
14.8500       -452.1962    -454.0410       1.8448   230.2
14.9000       -451.8876    -453.9164       2.0289   253.2
14.9500       -451.7957    -454.1873       2.3916   298.4
15.0000       -451.9650    -454.1429       2.1779   271.8
15.0500       -451.9842    -454.1064       2.1222   264.8
15.1000       -451.8568    -454.0280       2.1713   270.9
15.1500       -451.6492    -454.0437       2.3946   298.8
15.2000       -451.8528    -454.2957       2.4428   304.8
15.2500       -451.9834    -454.4538       2.4703   308.2
15.3000       -451.6531    -454.2311       2.5781   321.7
15.3500       -451.4830    -453.7569       2.2739   283.7
15.4000       -451.9285    -454.2507       2.3221   289.8
15.4500       -451.2110    -453.7371       2.5261   315.2
15.5000       -451.6952    -454.0542       2.3590   294.4
15.5500       -451.6183    -453.7099       2.0916   261.0
15.6000       -452.0206    -454.0269       2.0063   250.3
15.6500       -451.9988    -454.0198       2.0211   252.2
15.7000       -451.6297    -453.8390       2.2093   275.7
15.7500       -451.4139    -453.9033       2.4893   310.6
15.8000       -451.1463    -453.7553       2.6089   325.5
15.8500       -451.4968    -453.8592       2.3624   294.8
15.9000       -450.7537    -453.5099       2.7562   343.9
15.9500       -450.7978    -453.6009       2.8031   349.8
16.0000       -450.7729    -453.6844       2.9115   363.3
16.0500       -451.3110    -453.8012       2.4902   310.7
16.1000       -451.4629    -453.6944       2.2314   278.4
16.1500       -451.6874    -454.0117       2.3242   290.0
16.2000       -451.8433    -453.6610       1.8178   226.8
16.2500       -451.5980    -454.3550       2.7569   344.0
16.3000       -451.6106    -453.9413       2.3308   290.8
16.3500       -452.0533    -454.0007       1.9474   243.0
16.4000       -451.6524    -454.1484       2.4960   311.5
16.4500       -452.0430    -454.2981       2.2550   281.4
16.5000       -451.8885    -454.2346       2.3461   292.7
16.5500       -451.9842    -453.9635       1.9793   247.0
16.6000       -451.7764    -454.3758       2.5994   324.4
16.6500       -451.6437    -453.7671       2.1234   265.0
16.7000       -451.4673    -453.7052       2.2379   279.2
16.7500       -451.5844    -453.8579       2.2735   283.7
16.8000       -451.2753    -453.8555       2.5803   322.0
16.8500       -451.1634    -453.8532       2.6899   335.6
16.9000       -451.5882    -454.4690       2.8808   359.5
16.9500       -451.7047    -454.1367       2.4321   303.5
17.0000       -451.3631    -454.0144       2.6513   330.8
17.0500       -452.2895    -454.5424       2.2530   281.1
17.1000       -452.2704    -454.4854       2.2151   276.4
17.1500       -452.1231    -454.4857       2.3625   294.8
17.2000       -452.3280    -454.6900       2.3620   294.7
17.2500       -451.9861    -454.1822       2.1961   274.0
17.3000       -451.8303    -454.3867       2.5563   319.0
17.3500       -451.3729    -454.2166       2.8437   354.8
17.4000       -450.9576    -453.5074       2.5498   318.2
17.4500       -450.8883    -453.5731       2.6848   335.0
17.5000       -451.0584    -453.6442       2.5858   322.7
17.5500       -451.2708    -454.0276       2.7569   344.0
17.6000       -450.9636    -453.7341       2.7705   345.7
17.6500       -451.2886    -454.0234       2.7348   341.2
17.7000       -451.8443    -454.1589       2.3147   288.8
17.7500       -451.9670    -454.3387       2.3718   295.9
17.8000       -452.4863    -454.2595       1.7731   221.3
17.8500       -451.9279    -453.9885       2.0605   257.1
17.9000       -451.7729    -453.9576       2.1847   272.6
17.9500       -450.7750    -453.5392       2.7642   344.9
18.0000       -451.1208    -453.8013       2.6805   334.5
18.0500       -451.5168    -453.7305       2.2137   276.2
18.1000       -451.7636    -454.3141       2.5505   318.3
18.1500       -451.7401    -454.4031       2.6630   332.3
18.2000       -451.8471    -454.1845       2.3374   291.7
18.2500       -451.5063    -454.0869       2.5806   322.0
18.3000       -451.8317    -454.1310       2.2994   286.9
18.3500       -451.6053    -454.3647       2.7595   344.3
18.4000       -451.3315    -454.0605       2.7290   340.5
18.4500       -451.5731    -453.9217       2.3485   293.0
18.5000       -451.6549    -454.2765       2.6217   327.1
18.5500       -452.3435    -454.4295       2.0861   260.3
18.6000       -452.3569    -454.5621       2.2052   275.2
