Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
18.9500       1299.5591    -938.4544    2238.0135  196750.6
19.0000       3167.8220    -807.8735    3975.6955  349515.5
19.0500       3995.1965    -696.6392    4691.8357  412473.6
19.1000       1572.1936    -923.5642    2495.7578  219409.7
19.1500       1471.5327   -1022.6699    2494.2026  219272.9
19.2000        228.0663   -1045.7061    1273.7724  111981.2
19.2500        409.3247   -1216.7968    1626.1215  142957.3
19.3000        241.3805   -1062.1712    1303.5516  114599.2
19.3500        275.9019   -1099.9130    1375.8149  120952.1
19.4000        353.6697   -1065.9264    1419.5961  124801.0
19.4500        232.5122    -960.4711    1192.9834  104878.8
19.5000        993.6223    -960.8992    1954.5215  171827.9
19.5500        101.4697    -993.9543    1095.4240  96302.1
19.6000       -216.1215    -995.2385     779.1170  68494.6
19.6500       -668.1423   -1137.4041     469.2617  41254.2
19.7000       -112.7116   -1184.7198    1072.0082  94243.5
19.7500        120.2432   -1046.2853    1166.5285  102553.1
19.8000       -132.2603    -985.9975     853.7372  75054.6
19.8500        291.8910   -1057.4803    1349.3712  118627.3
19.9000        793.3573    -918.7508    1712.1081  150516.6
19.9500        809.6873    -915.4573    1725.1445  151662.7
20.0000        835.1767   -1029.2314    1864.4081  163905.8
20.0500       1350.8147   -1046.5681    2397.3828  210761.2
20.1000       2412.7713    -872.0796    3284.8509  288781.2
20.1500        683.1186    -975.4246    1658.5432  145807.6
20.2000       -117.3267   -1010.9449     893.6182  78560.7
20.2500       -495.5262   -1145.6094     650.0832  57150.8
20.3000       -224.1493    -978.1850     754.0357  66289.6
20.3500        -28.0805   -1005.5509     977.4704  85932.4
20.4000          5.7750    -919.3409     925.1159  81329.8
20.4500       -262.5736    -937.6806     675.1069  59350.7
20.5000        219.7259    -882.8819    1102.6078  96933.6
20.5500        -16.6774    -961.4023     944.7250  83053.6
20.6000        -13.5028    -986.0946     972.5917  85503.5
20.6500       -348.2767   -1000.8484     652.5717  57369.6
20.7000       -165.2053   -1052.6238     887.4185  78015.7
20.7500        -18.6192   -1096.5450    1077.9257  94763.7
20.8000         32.4958    -980.8431    1013.3389  89085.7
20.8500       -379.7346    -995.2400     615.5054  54111.0
