epoch,lr_schedule,step,test_energy_mae,test_energy_rmse,test_forces_mae,test_forces_rmse,test_loss,train_energy_mae,train_energy_rmse,train_forces_mae,train_forces_rmse,train_loss,val_energy_mae,val_energy_rmse,val_forces_mae,val_forces_rmse,val_loss
69,,699,,,,,,,,,,,0.24110759794712067,0.34560686349868774,0.10386320948600769,0.13675881922245026,0.01971038430929184
,0.001,700,,,,,,,,,,,,,,,
70,,709,,,,,,,,,,,0.23959903419017792,0.3432106077671051,0.10332493484020233,0.1360967755317688,0.01951504312455654
,0.001,710,,,,,,,,,,,,,,,
71,,719,,,,,,,,,,,0.23669515550136566,0.34085676074028015,0.102802574634552,0.13544487953186035,0.019323697313666344
,0.001,720,,,,,,,,,,,,,,,
72,,729,,,,,,,,,,,0.23594500124454498,0.3404098153114319,0.10226252675056458,0.13482438027858734,0.0191546268761158
,0.001,730,,,,,,,,,,,,,,,
73,,739,,,,,,,,,,,0.23432227969169617,0.33935683965682983,0.10172738134860992,0.13415861129760742,0.018970178440213203
,0.001,740,,,,,,,,,,,,,,,
74,,749,,,,,,0.25928473472595215,0.28911882638931274,0.09477970749139786,0.12214881926774979,0.01560702733695507,,,,,
74,,749,,,,,,,,,,,0.2326963245868683,0.33673936128616333,0.10127142071723938,0.1336178332567215,0.0188091229647398
,0.001,750,,,,,,,,,,,,,,,
75,,759,,,,,,,,,,,0.23055881261825562,0.3346574306488037,0.10076580196619034,0.13298261165618896,0.018627487123012543
,0.001,760,,,,,,,,,,,,,,,
76,,769,,,,,,,,,,,0.22825822234153748,0.3326534032821655,0.10027390718460083,0.1323942244052887,0.018459532409906387
,0.001,770,,,,,,,,,,,,,,,
77,,779,,,,,,,,,,,0.22861945629119873,0.33069920539855957,0.09980332851409912,0.1318318396806717,0.01829945482313633
,0.001,780,,,,,,,,,,,,,,,
78,,789,,,,,,,,,,,0.22906585037708282,0.3302939534187317,0.09936931729316711,0.13129465281963348,0.01815684512257576
,0.001,790,,,,,,,,,,,,,,,
79,,799,,,,,,0.2916550040245056,0.4033106565475464,0.08696918934583664,0.11638307571411133,0.015036165714263916,,,,,
79,,799,,,,,,,,,,,0.22769694030284882,0.3298018276691437,0.09891266375780106,0.13071466982364655,0.018003154546022415
,0.001,800,,,,,,,,,,,,,,,
80,,809,,,,,,,,,,,0.22569744288921356,0.32769620418548584,0.09848621487617493,0.13019849359989166,0.01785597763955593
,0.001,810,,,,,,,,,,,,,,,
81,,819,,,,,,,,,,,0.22289882600307465,0.32470202445983887,0.09812040627002716,0.12976029515266418,0.01772366836667061
,0.001,820,,,,,,,,,,,,,,,
82,,829,,,,,,,,,,,0.2211252599954605,0.3222300112247467,0.09774094820022583,0.12930883467197418,0.017591891810297966
,0.001,830,,,,,,,,,,,,,,,
