#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   1017      4.60e+00    5.05e+00      6.13e-03    8.29e-03      1.45e-01    1.60e-01    1.0e-03
   1026      6.20e+00    6.00e+00      4.83e-02    4.85e-02      1.96e-01    1.90e-01    1.0e-03
   1035      6.56e+00    6.04e+00      1.48e-01    1.47e-01      2.07e-01    1.91e-01    1.0e-03
   1044      4.61e+00    5.11e+00      1.56e-02    1.48e-02      1.46e-01    1.62e-01    1.0e-03
   1053      5.43e+00    5.01e+00      3.72e-02    3.63e-02      1.72e-01    1.58e-01    1.0e-03
   1062      4.32e+00    4.85e+00      1.26e-02    1.23e-02      1.37e-01    1.53e-01    1.0e-03
   1071      5.22e+00    4.88e+00      6.32e-03    6.75e-03      1.65e-01    1.54e-01    1.0e-03
   1080      5.02e+00    5.13e+00      6.92e-03    8.40e-03      1.59e-01    1.62e-01    1.0e-03
   1089      4.86e+00    4.88e+00      3.24e-02    3.16e-02      1.54e-01    1.54e-01    1.0e-03
   1098      4.26e+00    4.93e+00      6.89e-03    6.78e-03      1.35e-01    1.56e-01    1.0e-03
   1107      4.54e+00    4.98e+00      3.04e-02    3.17e-02      1.43e-01    1.58e-01    1.0e-03
   1116      4.67e+00    4.81e+00      3.52e-02    3.49e-02      1.48e-01    1.52e-01    1.0e-03
   1125      5.11e+00    4.82e+00      1.82e-02    1.78e-02      1.62e-01    1.52e-01    1.0e-03
   1134      4.44e+00    5.00e+00      2.49e-02    2.51e-02      1.41e-01    1.58e-01    1.0e-03
   1143      5.66e+00    4.84e+00      2.72e-03    2.27e-03      1.79e-01    1.53e-01    1.0e-03
   1152      5.40e+00    5.54e+00      3.23e-02    3.20e-02      1.71e-01    1.75e-01    1.0e-03
   1161      4.46e+00    5.00e+00      3.08e-02    3.10e-02      1.41e-01    1.58e-01    1.0e-03
   1170      5.10e+00    4.87e+00      3.30e-02    3.33e-02      1.61e-01    1.54e-01    1.0e-03
   1179      4.79e+00    5.05e+00      8.53e-03    8.23e-03      1.51e-01    1.60e-01    1.0e-03
   1188      5.18e+00    4.87e+00      3.49e-02    3.37e-02      1.64e-01    1.54e-01    1.0e-03
   1197      5.06e+00    5.04e+00      4.92e-02    4.79e-02      1.60e-01    1.59e-01    1.0e-03
   1206      4.83e+00    4.74e+00      2.53e-02    2.43e-02      1.53e-01    1.50e-01    1.0e-03
   1215      4.90e+00    4.94e+00      1.65e-03    1.33e-03      1.55e-01    1.56e-01    1.0e-03
   1224      4.90e+00    5.23e+00      1.81e-03    2.43e-03      1.55e-01    1.65e-01    1.0e-03
   1233      4.85e+00    4.99e+00      6.95e-02    6.94e-02      1.53e-01    1.58e-01    1.0e-03
   1242      4.31e+00    4.78e+00      1.31e-02    1.19e-02      1.36e-01    1.51e-01    1.0e-03
   1251      4.18e+00    4.80e+00      2.40e-02    2.34e-02      1.32e-01    1.52e-01    1.0e-03
   1260      6.14e+00    4.90e+00      5.45e-03    7.22e-03      1.94e-01    1.55e-01    1.0e-03
   1269      5.06e+00    5.14e+00      2.10e-02    2.07e-02      1.60e-01    1.63e-01    1.0e-03
   1278      5.05e+00    5.04e+00      8.50e-02    8.33e-02      1.60e-01    1.59e-01    1.0e-03
   1287      5.74e+00    5.24e+00      4.49e-02    4.34e-02      1.82e-01    1.66e-01    1.0e-03
   1296      4.40e+00    4.70e+00      1.12e-02    1.07e-02      1.39e-01    1.49e-01    1.0e-03
   1305      5.07e+00    4.73e+00      9.00e-03    9.55e-03      1.60e-01    1.50e-01    1.0e-03
   1314      4.84e+00    4.74e+00      2.07e-02    2.05e-02      1.53e-01    1.50e-01    1.0e-03
   1323      4.52e+00    4.72e+00      2.02e-02    2.06e-02      1.43e-01    1.49e-01    1.0e-03
