#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
    981      3.76e+00    3.66e+00      2.94e-03    2.93e-03      1.19e-01    1.16e-01    1.0e-03
    990      3.82e+00    3.72e+00      1.53e-02    1.51e-02      1.21e-01    1.18e-01    1.0e-03
    999      3.99e+00    3.99e+00      2.81e-03    3.23e-03      1.26e-01    1.26e-01    1.0e-03
   1008      3.86e+00    3.80e+00      1.26e-03    1.49e-03      1.22e-01    1.20e-01    1.0e-03
   1017      3.81e+00    3.85e+00      4.26e-03    4.35e-03      1.21e-01    1.22e-01    1.0e-03
   1026      4.36e+00    4.21e+00      6.23e-02    6.22e-02      1.38e-01    1.33e-01    1.0e-03
   1035      3.86e+00    3.86e+00      1.07e-01    1.07e-01      1.22e-01    1.22e-01    1.0e-03
   1044      3.80e+00    3.93e+00      2.20e-02    2.20e-02      1.20e-01    1.24e-01    1.0e-03
   1053      3.77e+00    3.58e+00      2.34e-02    2.35e-02      1.19e-01    1.13e-01    1.0e-03
   1062      3.74e+00    3.72e+00      4.25e-02    4.25e-02      1.18e-01    1.18e-01    1.0e-03
   1071      3.67e+00    3.72e+00      3.83e-02    3.81e-02      1.16e-01    1.18e-01    1.0e-03
   1080      3.70e+00    3.63e+00      3.44e-02    3.46e-02      1.17e-01    1.15e-01    1.0e-03
   1089      3.78e+00    3.71e+00      5.95e-03    5.90e-03      1.20e-01    1.17e-01    1.0e-03
   1098      3.73e+00    3.89e+00      2.46e-02    2.47e-02      1.18e-01    1.23e-01    1.0e-03
   1107      3.67e+00    3.57e+00      2.81e-02    2.83e-02      1.16e-01    1.13e-01    1.0e-03
   1116      3.64e+00    3.53e+00      4.04e-02    4.07e-02      1.15e-01    1.12e-01    1.0e-03
   1125      3.63e+00    3.62e+00      3.43e-02    3.42e-02      1.15e-01    1.15e-01    1.0e-03
   1134      3.61e+00    3.53e+00      2.92e-02    2.92e-02      1.14e-01    1.12e-01    1.0e-03
   1143      3.80e+00    3.80e+00      4.75e-03    4.93e-03      1.20e-01    1.20e-01    1.0e-03
   1152      3.68e+00    3.78e+00      3.06e-02    3.06e-02      1.16e-01    1.20e-01    1.0e-03
   1161      3.88e+00    3.73e+00      3.19e-02    3.20e-02      1.23e-01    1.18e-01    1.0e-03
   1170      3.63e+00    3.63e+00      2.91e-02    2.90e-02      1.15e-01    1.15e-01    1.0e-03
   1179      3.59e+00    3.62e+00      5.18e-03    5.13e-03      1.14e-01    1.14e-01    1.0e-03
   1188      3.60e+00    3.46e+00      2.55e-02    2.55e-02      1.14e-01    1.10e-01    1.0e-03
   1197      3.80e+00    3.75e+00      2.12e-02    2.11e-02      1.20e-01    1.19e-01    1.0e-03
   1206      4.73e+00    4.66e+00      1.49e-01    1.49e-01      1.49e-01    1.47e-01    1.0e-03
   1215      3.94e+00    3.98e+00      4.23e-02    4.23e-02      1.24e-01    1.26e-01    1.0e-03
   1224      3.50e+00    3.47e+00      3.48e-03    3.50e-03      1.11e-01    1.10e-01    1.0e-03
   1233      3.49e+00    3.33e+00      3.92e-02    3.92e-02      1.11e-01    1.05e-01    1.0e-03
   1242      3.49e+00    3.44e+00      4.61e-02    4.60e-02      1.10e-01    1.09e-01    1.0e-03
   1251      3.46e+00    3.43e+00      3.85e-03    3.98e-03      1.09e-01    1.08e-01    1.0e-03
   1260      3.47e+00    3.41e+00      2.35e-02    2.35e-02      1.10e-01    1.08e-01    1.0e-03
   1269      3.56e+00    3.49e+00      3.55e-03    3.60e-03      1.13e-01    1.10e-01    1.0e-03
   1278      3.66e+00    3.48e+00      1.39e-02    1.39e-02      1.16e-01    1.10e-01    1.0e-03
   1287      3.39e+00    3.40e+00      1.69e-02    1.69e-02      1.07e-01    1.08e-01    1.0e-03
   1296      3.48e+00    3.42e+00      2.20e-02    2.22e-02      1.10e-01    1.08e-01    1.0e-03
   1305      3.60e+00    3.53e+00      8.99e-04    1.11e-03      1.14e-01    1.12e-01    1.0e-03
   1314      4.11e+00    4.12e+00      4.50e-02    4.51e-02      1.30e-01    1.30e-01    1.0e-03
   1323      3.95e+00    3.85e+00      3.27e-02    3.25e-02      1.25e-01    1.22e-01    1.0e-03
   1332      3.32e+00    3.39e+00      2.59e-02    2.56e-02      1.05e-01    1.07e-01    1.0e-03
   1341      3.48e+00    3.31e+00      2.99e-02    3.00e-02      1.10e-01    1.05e-01    1.0e-03
   1350      3.48e+00    3.44e+00      3.40e-03    3.39e-03      1.10e-01    1.09e-01    1.0e-03
   1359      3.49e+00    3.30e+00      1.59e-03    1.87e-03      1.10e-01    1.04e-01    1.0e-03
   1368      3.37e+00    3.42e+00      8.80e-03    8.74e-03      1.07e-01    1.08e-01    1.0e-03
   1377      3.84e+00    3.74e+00      2.57e-02    2.58e-02      1.22e-01    1.18e-01    1.0e-03
   1386      4.03e+00    3.94e+00      2.80e-02    2.83e-02      1.27e-01    1.25e-01    1.0e-03
   1395      3.44e+00    3.49e+00      7.39e-03    7.38e-03      1.09e-01    1.11e-01    1.0e-03
   1404      3.44e+00    3.36e+00      1.12e-02    1.12e-02      1.09e-01    1.06e-01    1.0e-03
   1413      3.70e+00    3.57e+00      1.98e-02    1.96e-02      1.17e-01    1.13e-01    1.0e-03
   1422      3.39e+00    3.38e+00      4.90e-03    4.79e-03      1.07e-01    1.07e-01    1.0e-03
   1431      3.40e+00    3.35e+00      5.62e-02    5.62e-02      1.07e-01    1.06e-01    1.0e-03
   1440      3.38e+00    3.24e+00      3.01e-02    2.99e-02      1.07e-01    1.02e-01    1.0e-03
   1449      3.43e+00    3.47e+00      2.46e-02    2.43e-02      1.08e-01    1.10e-01    1.0e-03
   1458      3.58e+00    3.56e+00      4.82e-02    4.81e-02      1.13e-01    1.13e-01    1.0e-03
   1467      3.27e+00    3.22e+00      2.37e-03    2.19e-03      1.03e-01    1.02e-01    1.0e-03
   1476      3.34e+00    3.18e+00      3.31e-02    3.35e-02      1.06e-01    1.01e-01    1.0e-03
   1485      3.46e+00    3.40e+00      3.93e-02    3.96e-02      1.09e-01    1.08e-01    1.0e-03
   1494      3.45e+00    3.29e+00      2.45e-02    2.40e-02      1.09e-01    1.04e-01    1.0e-03
