Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
8.8000        -571.7264    -574.9624       3.2360   284.5
8.8500        -571.4293    -574.3082       2.8789   253.1
8.9000        -571.1963    -574.4196       3.2233   283.4
8.9500        -570.9013    -574.6123       3.7110   326.2
9.0000        -570.6163    -574.2525       3.6361   319.7
9.0500        -570.9600    -574.3189       3.3589   295.3
9.1000        -570.5950    -574.4339       3.8389   337.5
9.1500        -571.0137    -574.3952       3.3815   297.3
9.2000        -571.4138    -575.0899       3.6760   323.2
9.2500        -571.5811    -574.8971       3.3160   291.5
9.3000        -571.8766    -574.9006       3.0240   265.8
9.3500        -571.7220    -574.9118       3.1898   280.4
9.4000        -571.3882    -574.5696       3.1813   279.7
9.4500        -571.9068    -574.9542       3.0474   267.9
9.5000        -571.9481    -574.6419       2.6938   236.8
9.5500        -571.5346    -574.5138       2.9792   261.9
9.6000        -571.7351    -574.7488       3.0136   264.9
9.6500        -571.5749    -575.0889       3.5140   308.9
9.7000        -571.5559    -574.6657       3.1098   273.4
9.7500        -571.5806    -575.1676       3.5870   315.3
9.8000        -570.6974    -574.3464       3.6490   320.8
9.8500        -570.8182    -574.0546       3.2364   284.5
9.9000        -571.5504    -574.6575       3.1071   273.2
9.9500        -571.3680    -574.8090       3.4410   302.5
10.0000       -572.0715    -575.0722       3.0007   263.8
10.0500       -571.7379    -574.8359       3.0981   272.4
10.1000       -571.3788    -574.8694       3.4907   306.9
10.1500       -571.5670    -574.5441       2.9771   261.7
10.2000       -571.5803    -574.5490       2.9687   261.0
10.2500       -570.8685    -574.0768       3.2083   282.0
10.3000       -570.7751    -574.2589       3.4837   306.3
10.3500       -571.5294    -574.5211       2.9917   263.0
10.4000       -570.8934    -574.2551       3.3618   295.5
10.4500       -571.5237    -574.6774       3.1537   277.2
10.5000       -571.7649    -574.9601       3.1952   280.9
10.5500       -571.0507    -574.6446       3.5939   315.9
10.6000       -570.7095    -574.3148       3.6053   317.0
10.6500       -570.7634    -574.3745       3.6111   317.5
10.7000       -571.0849    -574.6378       3.5530   312.4
