#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
    344      4.01e+00    4.10e+00      4.53e-03    4.41e-03      2.73e-01    2.80e-01    2.1e-04
    346      3.87e+00    4.08e+00      3.62e-03    5.73e-03      2.63e-01    2.78e-01    2.1e-04
    348      3.90e+00    4.12e+00      5.33e-03    4.54e-03      2.66e-01    2.80e-01    2.1e-04
    350      3.97e+00    4.06e+00      4.02e-03    3.89e-03      2.70e-01    2.77e-01    2.1e-04
    352      3.82e+00    4.08e+00      2.63e-03    5.17e-03      2.60e-01    2.78e-01    2.1e-04
    354      4.07e+00    4.08e+00      3.24e-03    4.14e-03      2.77e-01    2.78e-01    2.1e-04
    356      3.90e+00    4.11e+00      4.14e-03    4.20e-03      2.65e-01    2.80e-01    2.1e-04
    358      3.98e+00    4.14e+00      3.37e-03    3.99e-03      2.71e-01    2.82e-01    2.1e-04
    360      4.00e+00    4.05e+00      3.36e-03    4.00e-03      2.73e-01    2.76e-01    2.1e-04
    362      3.88e+00    4.04e+00      2.93e-03    4.00e-03      2.64e-01    2.75e-01    2.1e-04
    364      4.00e+00    4.09e+00      2.62e-03    4.13e-03      2.72e-01    2.79e-01    2.1e-04
    366      3.89e+00    4.07e+00      3.57e-03    3.90e-03      2.65e-01    2.77e-01    2.1e-04
    368      3.95e+00    4.09e+00      5.14e-03    4.42e-03      2.69e-01    2.78e-01    2.1e-04
    370      3.91e+00    4.06e+00      2.72e-03    4.72e-03      2.66e-01    2.77e-01    2.1e-04
    372      3.92e+00    4.02e+00      3.03e-03    4.48e-03      2.67e-01    2.74e-01    2.1e-04
    374      3.92e+00    4.07e+00      5.37e-03    4.99e-03      2.67e-01    2.77e-01    2.1e-04
    376      3.88e+00    4.08e+00      2.79e-03    4.43e-03      2.64e-01    2.78e-01    2.1e-04
    378      3.98e+00    4.07e+00      3.35e-03    3.87e-03      2.71e-01    2.77e-01    2.1e-04
    380      3.90e+00    4.07e+00      3.06e-03    3.85e-03      2.66e-01    2.77e-01    2.1e-04
    382      3.97e+00    4.04e+00      2.77e-03    4.78e-03      2.70e-01    2.75e-01    2.1e-04
    384      3.94e+00    4.04e+00      5.77e-03    5.49e-03      2.69e-01    2.75e-01    2.1e-04
    386      3.90e+00    4.05e+00      3.09e-03    5.32e-03      2.66e-01    2.76e-01    2.1e-04
    388      3.87e+00    4.09e+00      2.68e-03    4.05e-03      2.64e-01    2.78e-01    2.1e-04
    390      3.95e+00    4.08e+00      5.63e-03    4.64e-03      2.69e-01    2.78e-01    2.1e-04
    392      3.98e+00    3.99e+00      4.86e-03    6.39e-03      2.71e-01    2.72e-01    2.1e-04
    394      3.86e+00    4.06e+00      5.77e-03    6.08e-03      2.63e-01    2.76e-01    2.1e-04
