epoch,lr_schedule,step,test_energy_mae,test_energy_rmse,test_forces_mae,test_forces_rmse,test_loss,train_energy_mae,train_energy_rmse,train_forces_mae,train_forces_rmse,train_loss,val_energy_mae,val_energy_rmse,val_forces_mae,val_forces_rmse,val_loss
50,,509,,,,,,,,,,,0.2802640199661255,0.342318058013916,0.1484001874923706,0.19555974006652832,0.03903299570083618
,0.001,510,,,,,,,,,,,,,,,
51,,519,,,,,,,,,,,0.27352815866470337,0.3338395357131958,0.14715176820755005,0.19393734633922577,0.03835006430745125
,0.001,520,,,,,,,,,,,,,,,
52,,529,,,,,,,,,,,0.27153271436691284,0.33206018805503845,0.14593319594860077,0.19234085083007812,0.03772769868373871
,0.001,530,,,,,,,,,,,,,,,
53,,539,,,,,,,,,,,0.269275426864624,0.3298131227493286,0.14473450183868408,0.19080431759357452,0.03712999075651169
,0.001,540,,,,,,,,,,,,,,,
54,,549,,,,,,0.2793642580509186,0.3338392972946167,0.12685734033584595,0.16642479598522186,0.028534727171063423,,,,,
54,,549,,,,,,,,,,,0.2650268077850342,0.32514095306396484,0.1435631513595581,0.1892842948436737,0.03652742877602577
,0.001,550,,,,,,,,,,,,,,,
55,,559,,,,,,,,,,,0.2613694369792938,0.32111284136772156,0.14241057634353638,0.18781915307044983,0.03595441207289696
,0.001,560,,,,,,,,,,,,,,,
56,,569,,,,,,,,,,,0.258866548538208,0.31889185309410095,0.14129939675331116,0.18639349937438965,0.035412028431892395
,0.001,570,,,,,,,,,,,,,,,
57,,579,,,,,,,,,,,0.25311949849128723,0.3122926652431488,0.14018778502941132,0.18499311804771423,0.03485549986362457
,0.001,580,,,,,,,,,,,,,,,
58,,589,,,,,,,,,,,0.25002753734588623,0.3090420961380005,0.1391236037015915,0.1836492419242859,0.03434484452009201
,0.001,590,,,,,,,,,,,,,,,
59,,599,,,,,,0.5069769620895386,0.5714164972305298,0.12602214515209198,0.1713506281375885,0.03233259916305542,,,,,
59,,599,,,,,,,,,,,0.24683372676372528,0.3056878447532654,0.13805148005485535,0.1823127269744873,0.03384000435471535
,0.001,600,,,,,,,,,,,,,,,
60,,609,,,,,,,,,,,0.24350327253341675,0.30211809277534485,0.1370479017496109,0.18104997277259827,0.033364053815603256
,0.001,610,,,,,,,,,,,,,,,
61,,619,,,,,,,,,,,0.2405562400817871,0.2985926866531372,0.13607455790042877,0.17982681095600128,0.032905880361795425
,0.001,620,,,,,,,,,,,,,,,
62,,629,,,,,,,,,,,0.23818793892860413,0.29587334394454956,0.1352035105228424,0.17873148620128632,0.03250090777873993
,0.001,630,,,,,,,,,,,,,,,
63,,639,,,,,,,,,,,0.23441587388515472,0.2913888990879059,0.1343514323234558,0.17765435576438904,0.03209453448653221
,0.001,640,,,,,,,,,,,,,,,
64,,649,,,,,,0.5314893126487732,0.5896698236465454,0.11829264461994171,0.158388152718544,0.02831304632127285,,,,,
64,,649,,,,,,,,,,,0.23181681334972382,0.28814005851745605,0.1335185021162033,0.17663371562957764,0.03171772509813309
,0.001,650,,,,,,,,,,,,,,,
65,,659,,,,,,,,,,,0.22985459864139557,0.2859458327293396,0.13267987966537476,0.17562995851039886,0.03135507553815842
,0.001,660,,,,,,,,,,,,,,,
66,,669,,,,,,,,,,,0.22768612205982208,0.28361597657203674,0.1318528801202774,0.17463895678520203,0.030998162925243378
,0.001,670,,,,,,,,,,,,,,,
67,,679,,,,,,,,,,,0.225126251578331,0.2806278467178345,0.1310562640428543,0.17365896701812744,0.030643386766314507
,0.001,680,,,,,,,,,,,,,,,
68,,689,,,,,,,,,,,0.22423610091209412,0.2795726954936981,0.13029663264751434,0.17271937429904938,0.030315270647406578
,0.001,690,,,,,,,,,,,,,,,
69,,699,,,,,,0.21553492546081543,0.2724418342113495,0.11999071389436722,0.15810881555080414,0.02549065835773945,,,,,
69,,699,,,,,,,,,,,0.22181814908981323,0.2770136296749115,0.12955355644226074,0.17181499302387238,0.02999255433678627
,0.001,700,,,,,,,,,,,,,,,
70,,709,,,,,,,,,,,0.21942199766635895,0.27469947934150696,0.12885062396526337,0.1709567755460739,0.029688559472560883
,0.001,710,,,,,,,,,,,,,,,
71,,719,,,,,,,,,,,0.21729589998722076,0.27221545577049255,0.12814509868621826,0.17008359730243683,0.029380159452557564
,0.001,720,,,,,,,,,,,,,,,
72,,729,,,,,,,,,,,0.21482807397842407,0.2695634663105011,0.12745437026023865,0.16921773552894592,0.02907494269311428
,0.001,730,,,,,,,,,,,,,,,
73,,739,,,,,,,,,,,0.21203096210956573,0.26658540964126587,0.12674814462661743,0.16835151612758636,0.028769491240382195
,0.001,740,,,,,,,,,,,,,,,
74,,749,,,,,,0.1883327215909958,0.22911003232002258,0.11823923885822296,0.15553830564022064,0.024475157260894775,,,,,
74,,749,,,,,,,,,,,0.21061456203460693,0.2650139033794403,0.126061350107193,0.16748960316181183,0.02847456932067871
,0.001,750,,,,,,,,,,,,,,,
75,,759,,,,,,,,,,,0.2079245001077652,0.2621093988418579,0.1253986805677414,0.166659876704216,0.02818477340042591
,0.001,760,,,,,,,,,,,,,,,
76,,769,,,,,,,,,,,0.2062891572713852,0.2601023316383362,0.12473639100790024,0.16584160923957825,0.027904938906431198
,0.001,770,,,,,,,,,,,,,,,
77,,779,,,,,,,,,,,0.20357570052146912,0.2570120394229889,0.12409387528896332,0.16503942012786865,0.02762618288397789
,0.001,780,,,,,,,,,,,,,,,
78,,789,,,,,,,,,,,0.202091783285141,0.2551441192626953,0.12349463999271393,0.16427919268608093,0.027368765324354172
,0.001,790,,,,,,,,,,,,,,,
79,,799,,,,,,0.7818614840507507,0.8092084527015686,0.11424756795167923,0.15208636224269867,0.02944714017212391,,,,,
79,,799,,,,,,,,,,,0.1986611932516098,0.2515932321548462,0.12287858128547668,0.16351383924484253,0.027102399617433548
,0.001,800,,,,,,,,,,,,,,,
80,,809,,,,,,,,,,,0.1965007334947586,0.24953018128871918,0.12231504172086716,0.16280196607112885,0.026862092316150665
,0.001,810,,,,,,,,,,,,,,,
81,,819,,,,,,,,,,,0.1967596560716629,0.24947963654994965,0.12173288315534592,0.16208705306053162,0.02663188986480236
,0.001,820,,,,,,,,,,,,,,,
82,,829,,,,,,,,,,,0.1935276836156845,0.24584922194480896,0.12120307236909866,0.16141018271446228,0.026397135108709335
,0.001,830,,,,,,,,,,,,,,,
83,,839,,,,,,,,,,,0.19214944541454315,0.24459566175937653,0.12069296836853027,0.16075609624385834,0.026182370260357857
,0.001,840,,,,,,,,,,,,,,,
