#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   1938      4.63e+00    4.72e+00      8.38e-02    8.37e-02      1.46e-01    1.49e-01    1.0e-03
   1957      4.10e+00    4.24e+00      5.75e-03    5.98e-03      1.30e-01    1.34e-01    1.0e-03
   1976      4.38e+00    4.41e+00      2.33e-03    1.96e-03      1.38e-01    1.39e-01    1.0e-03
   1995      4.45e+00    4.56e+00      4.90e-03    5.81e-03      1.41e-01    1.44e-01    1.0e-03
   2014      4.33e+00    4.52e+00      1.61e-02    1.66e-02      1.37e-01    1.43e-01    1.0e-03
   2033      4.50e+00    4.80e+00      5.00e-02    4.99e-02      1.42e-01    1.52e-01    1.0e-03
   2052      4.91e+00    4.97e+00      3.82e-03    3.97e-03      1.55e-01    1.57e-01    1.0e-03
   2071      4.54e+00    4.71e+00      2.85e-03    2.83e-03      1.43e-01    1.49e-01    1.0e-03
   2090      4.61e+00    4.59e+00      2.52e-02    2.61e-02      1.46e-01    1.45e-01    1.0e-03
   2109      4.13e+00    4.24e+00      2.01e-03    2.28e-03      1.31e-01    1.34e-01    1.0e-03
   2128      4.31e+00    4.27e+00      2.15e-03    2.33e-03      1.36e-01    1.35e-01    1.0e-03
   2147      4.18e+00    4.27e+00      1.89e-03    2.51e-03      1.32e-01    1.35e-01    1.0e-03
   2166      4.05e+00    4.24e+00      2.62e-03    2.67e-03      1.28e-01    1.34e-01    1.0e-03
   2185      4.35e+00    4.28e+00      1.61e-02    1.62e-02      1.38e-01    1.35e-01    1.0e-03
   2204      4.91e+00    5.14e+00      2.95e-03    3.03e-03      1.55e-01    1.63e-01    1.0e-03
   2223      4.20e+00    4.36e+00      6.01e-02    6.03e-02      1.33e-01    1.38e-01    1.0e-03
   2242      4.33e+00    4.38e+00      4.51e-03    5.35e-03      1.37e-01    1.39e-01    1.0e-03
   2261      4.09e+00    4.25e+00      1.38e-02    1.41e-02      1.29e-01    1.34e-01    1.0e-03
   2280      4.26e+00    4.36e+00      2.97e-02    2.94e-02      1.35e-01    1.38e-01    1.0e-03
   2299      4.28e+00    4.30e+00      7.03e-02    7.07e-02      1.35e-01    1.36e-01    1.0e-03
   2318      4.28e+00    4.53e+00      2.66e-02    2.58e-02      1.35e-01    1.43e-01    1.0e-03
   2337      4.25e+00    4.38e+00      1.80e-03    1.47e-03      1.34e-01    1.38e-01    1.0e-03
   2356      4.11e+00    4.48e+00      5.23e-04    1.60e-03      1.30e-01    1.42e-01    1.0e-03
   2375      4.36e+00    4.43e+00      4.71e-03    4.46e-03      1.38e-01    1.40e-01    1.0e-03
   2394      4.20e+00    4.35e+00      2.88e-02    2.87e-02      1.33e-01    1.37e-01    1.0e-03
   2413      4.09e+00    4.21e+00      7.69e-03    8.14e-03      1.29e-01    1.33e-01    1.0e-03
   2432      4.41e+00    4.54e+00      1.43e-02    1.44e-02      1.40e-01    1.44e-01    1.0e-03
   2451      4.29e+00    4.33e+00      2.66e-02    2.68e-02      1.36e-01    1.37e-01    1.0e-03
   2470      4.08e+00    4.33e+00      3.58e-02    3.56e-02      1.29e-01    1.37e-01    1.0e-03
   2489      4.15e+00    4.25e+00      1.86e-03    2.11e-03      1.31e-01    1.34e-01    1.0e-03
   2508      4.90e+00    5.31e+00      6.84e-02    6.82e-02      1.55e-01    1.68e-01    1.0e-03
   2527      4.03e+00    4.30e+00      3.88e-02    3.81e-02      1.27e-01    1.36e-01    1.0e-03
