Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
9.0000        -451.5172    -453.7792       2.2620   282.2
9.0500        -451.2328    -453.8904       2.6576   331.6
9.1000        -450.9419    -453.5474       2.6055   325.1
9.1500        -451.2083    -453.7616       2.5533   318.6
9.2000        -451.1375    -453.6003       2.4628   307.3
9.2500        -451.1338    -453.6180       2.4842   310.0
9.3000        -451.5307    -454.0584       2.5276   315.4
9.3500        -451.3523    -453.4736       2.1213   264.7
9.4000        -451.5136    -453.9243       2.4108   300.8
9.4500        -451.6872    -454.0627       2.3755   296.4
9.5000        -451.8912    -453.9101       2.0189   251.9
9.5500        -451.5953    -453.8246       2.2294   278.2
9.6000        -451.7172    -453.9832       2.2660   282.7
9.6500        -451.9576    -454.0377       2.0801   259.6
9.7000        -451.7080    -453.9805       2.2725   283.6
9.7500        -451.4005    -453.8136       2.4132   301.1
9.8000        -451.7217    -454.3285       2.6068   325.3
9.8500        -451.4012    -453.7567       2.3555   293.9
9.9000        -451.4944    -454.0735       2.5791   321.8
9.9500        -451.6569    -453.8359       2.1790   271.9
10.0000       -451.6397    -453.9786       2.3388   291.8
10.0500       -451.6969    -454.0247       2.3278   290.5
10.1000       -451.7583    -454.2198       2.4615   307.1
10.1500       -451.1528    -453.4083       2.2555   281.4
10.2000       -451.0445    -453.3548       2.3103   288.3
10.2500       -451.2480    -453.6894       2.4414   304.6
10.3000       -451.2065    -453.9620       2.7554   343.8
10.3500       -451.2217    -453.3288       2.1071   262.9
10.4000       -450.8833    -453.7221       2.8388   354.2
10.4500       -450.9836    -453.7660       2.7824   347.2
10.5000       -450.9267    -453.2204       2.2937   286.2
10.5500       -451.3510    -453.9545       2.6036   324.9
10.6000       -451.8846    -454.1234       2.2388   279.4
10.6500       -452.0499    -454.2539       2.2040   275.0
10.7000       -451.4409    -453.4970       2.0561   256.6
10.7500       -451.0415    -453.8731       2.8316   353.3
10.8000       -451.2868    -453.5909       2.3041   287.5
10.8500       -451.3731    -454.0193       2.6462   330.2
10.9000       -451.7476    -454.1700       2.4224   302.3
10.9500       -451.5056    -454.0024       2.4968   311.5
11.0000       -451.1930    -453.7855       2.5925   323.5
11.0500       -451.6187    -453.8719       2.2532   281.2
11.1000       -451.6605    -454.0352       2.3747   296.3
11.1500       -451.8895    -454.0614       2.1719   271.0
11.2000       -451.9792    -454.4000       2.4208   302.1
11.2500       -452.2218    -454.2243       2.0025   249.9
11.3000       -451.8736    -454.3033       2.4296   303.2
11.3500       -451.6504    -454.0330       2.3826   297.3
11.4000       -451.8046    -454.2242       2.4196   301.9
11.4500       -451.3958    -453.8854       2.4896   310.7
11.5000       -451.4734    -454.1648       2.6914   335.8
11.5500       -451.7600    -453.9059       2.1459   267.8
11.6000       -451.9802    -454.4053       2.4252   302.6
11.6500       -452.0743    -454.2494       2.1751   271.4
11.7000       -452.5688    -454.6352       2.0664   257.8
11.7500       -452.0539    -454.2873       2.2334   278.7
11.8000       -451.8497    -453.8955       2.0458   255.3
11.8500       -452.2662    -454.3596       2.0934   261.2
11.9000       -451.5112    -453.7343       2.2231   277.4
11.9500       -451.6159    -453.7718       2.1560   269.0
12.0000       -452.1241    -454.0917       1.9676   245.5
12.0500       -451.5295    -453.7502       2.2206   277.1
12.1000       -451.8718    -453.8112       1.9394   242.0
12.1500       -451.7195    -453.8708       2.1512   268.4
12.2000       -451.8551    -454.2269       2.3718   296.0
12.2500       -451.9075    -454.4401       2.5327   316.0
12.3000       -452.0296    -454.4499       2.4203   302.0
12.3500       -452.1404    -454.2924       2.1520   268.5
12.4000       -452.0748    -454.1533       2.0785   259.4
12.4500       -452.1037    -454.5447       2.4410   304.6
12.5000       -451.8724    -454.2650       2.3926   298.5
