#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   2508      3.91e+00    4.42e+00      2.42e-03    2.95e-03      1.24e-01    1.40e-01    1.0e-03
   2527      4.53e+00    4.62e+00      1.76e-02    1.60e-02      1.43e-01    1.46e-01    1.0e-03
   2546      4.10e+00    4.40e+00      3.28e-02    3.32e-02      1.30e-01    1.39e-01    1.0e-03
   2565      3.86e+00    4.31e+00      1.54e-02    1.51e-02      1.22e-01    1.36e-01    1.0e-03
   2584      4.35e+00    4.44e+00      2.71e-03    1.57e-03      1.38e-01    1.40e-01    1.0e-03
   2603      5.19e+00    5.41e+00      2.38e-02    2.45e-02      1.64e-01    1.71e-01    1.0e-03
   2622      4.80e+00    4.41e+00      3.89e-02    3.99e-02      1.52e-01    1.40e-01    1.0e-03
   2641      4.65e+00    4.45e+00      2.43e-02    2.59e-02      1.47e-01    1.41e-01    1.0e-03
   2660      4.32e+00    4.28e+00      8.86e-03    8.58e-03      1.37e-01    1.35e-01    1.0e-03
   2679      4.44e+00    4.58e+00      1.66e-03    3.20e-03      1.40e-01    1.45e-01    1.0e-03
   2698      4.22e+00    4.61e+00      2.38e-02    2.41e-02      1.33e-01    1.46e-01    1.0e-03
   2717      4.25e+00    4.46e+00      1.53e-02    1.50e-02      1.34e-01    1.41e-01    1.0e-03
   2736      4.21e+00    4.74e+00      6.34e-03    5.09e-03      1.33e-01    1.50e-01    1.0e-03
   2755      4.25e+00    4.42e+00      4.10e-02    4.23e-02      1.34e-01    1.40e-01    1.0e-03
   2774      4.04e+00    4.33e+00      5.81e-03    5.35e-03      1.28e-01    1.37e-01    1.0e-03
   2793      3.75e+00    4.29e+00      1.46e-02    1.54e-02      1.18e-01    1.36e-01    1.0e-03
   2812      3.64e+00    4.49e+00      1.28e-03    3.98e-03      1.15e-01    1.42e-01    1.0e-03
   2831      5.52e+00    4.93e+00      1.11e-02    1.15e-02      1.75e-01    1.56e-01    1.0e-03
   2850      4.25e+00    4.31e+00      2.03e-02    2.05e-02      1.34e-01    1.36e-01    1.0e-03
   2869      4.14e+00    4.36e+00      1.72e-03    3.73e-03      1.31e-01    1.38e-01    1.0e-03
   2888      3.78e+00    4.32e+00      4.00e-03    4.17e-03      1.19e-01    1.37e-01    1.0e-03
   2907      4.62e+00    4.41e+00      1.53e-02    1.37e-02      1.46e-01    1.39e-01    1.0e-03
   2926      3.57e+00    4.47e+00      7.19e-03    6.22e-03      1.13e-01    1.41e-01    1.0e-03
   2945      4.23e+00    4.37e+00      1.14e-02    1.14e-02      1.34e-01    1.38e-01    1.0e-03
   2964      4.40e+00    4.32e+00      8.13e-03    1.00e-02      1.39e-01    1.37e-01    1.0e-03
   2983      4.16e+00    4.32e+00      3.49e-03    3.36e-03      1.31e-01    1.37e-01    1.0e-03
   3002      4.15e+00    4.31e+00      1.04e-03    1.01e-03      1.31e-01    1.36e-01    1.0e-03
   3021      4.75e+00    4.37e+00      2.19e-02    2.31e-02      1.50e-01    1.38e-01    1.0e-03
   3040      4.01e+00    4.34e+00      2.19e-02    2.25e-02      1.27e-01    1.37e-01    1.0e-03
   3059      3.77e+00    4.37e+00      1.98e-02    1.94e-02      1.19e-01    1.38e-01    1.0e-03
   3078      4.17e+00    4.81e+00      1.04e-02    1.25e-02      1.32e-01    1.52e-01    1.0e-03
   3097      3.94e+00    4.43e+00      3.03e-02    3.11e-02      1.25e-01    1.40e-01    1.0e-03
   3116      4.54e+00    4.36e+00      2.10e-02    2.11e-02      1.44e-01    1.38e-01    1.0e-03
   3135      5.03e+00    4.34e+00      1.04e-02    1.24e-02      1.59e-01    1.37e-01    1.0e-03
   3154      4.23e+00    4.49e+00      2.02e-03    3.86e-03      1.34e-01    1.42e-01    1.0e-03
   3173      4.25e+00    4.38e+00      4.38e-03    4.75e-03      1.35e-01    1.38e-01    1.0e-03
   3192      5.13e+00    4.55e+00      4.13e-03    4.77e-03      1.62e-01    1.44e-01    1.0e-03
   3211      3.78e+00    4.28e+00      2.44e-03    2.58e-03      1.19e-01    1.35e-01    1.0e-03
   3230      3.69e+00    4.16e+00      2.03e-03    2.76e-03      1.17e-01    1.32e-01    1.0e-03
