#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
    327      4.18e+00    4.53e+00      1.75e-02    1.70e-02      2.20e-01    2.39e-01    3.6e-04
    330      4.06e+00    4.47e+00      1.92e-02    2.23e-02      2.14e-01    2.36e-01    3.6e-04
    333      4.55e+00    4.43e+00      2.36e-02    2.32e-02      2.40e-01    2.33e-01    3.6e-04
    336      4.74e+00    4.51e+00      2.07e-02    1.98e-02      2.50e-01    2.38e-01    3.6e-04
    339      4.78e+00    4.48e+00      1.27e-02    1.42e-02      2.52e-01    2.36e-01    3.6e-04
    342      4.33e+00    4.46e+00      1.06e-02    1.23e-02      2.28e-01    2.35e-01    3.6e-04
    345      4.73e+00    4.50e+00      4.26e-03    8.82e-03      2.50e-01    2.38e-01    3.6e-04
    348      4.81e+00    4.38e+00      4.11e-03    4.88e-03      2.54e-01    2.31e-01    3.6e-04
    351      4.63e+00    4.43e+00      3.08e-03    1.74e-03      2.44e-01    2.34e-01    3.6e-04
    354      4.04e+00    4.42e+00      2.54e-03    1.75e-03      2.13e-01    2.33e-01    3.6e-04
    357      4.32e+00    4.44e+00      2.18e-03    2.94e-03      2.28e-01    2.34e-01    3.6e-04
    360      3.82e+00    4.39e+00      6.43e-03    5.01e-03      2.02e-01    2.31e-01    3.6e-04
    363      4.45e+00    4.46e+00      1.17e-03    3.42e-03      2.35e-01    2.35e-01    3.6e-04
    366      4.39e+00    4.38e+00      5.28e-03    2.66e-03      2.32e-01    2.31e-01    3.6e-04
    369      4.47e+00    4.34e+00      2.46e-03    3.60e-03      2.36e-01    2.29e-01    3.6e-04
    372      4.82e+00    4.29e+00      7.44e-03    6.51e-03      2.54e-01    2.26e-01    3.6e-04
    375      4.82e+00    4.33e+00      7.29e-03    7.85e-03      2.54e-01    2.28e-01    3.6e-04
    378      3.97e+00    4.30e+00      1.21e-02    1.45e-02      2.09e-01    2.27e-01    3.6e-04
    381      4.68e+00    4.31e+00      1.01e-02    1.18e-02      2.47e-01    2.27e-01    3.6e-04
    384      4.28e+00    4.36e+00      4.98e-03    5.95e-03      2.26e-01    2.30e-01    3.6e-04
    387      4.30e+00    4.33e+00      1.02e-02    7.24e-03      2.27e-01    2.29e-01    3.6e-04
    390      4.13e+00    4.28e+00      1.53e-02    1.40e-02      2.18e-01    2.26e-01    3.6e-04
    393      3.86e+00    4.38e+00      1.81e-02    2.10e-02      2.03e-01    2.31e-01    3.6e-04
    396      5.27e+00    4.35e+00      2.23e-02    2.37e-02      2.78e-01    2.29e-01    3.6e-04
    399      4.55e+00    4.21e+00      2.19e-02    1.76e-02      2.40e-01    2.22e-01    3.6e-04
    402      3.74e+00    3.59e+00      8.57e-03    1.19e-02      2.34e-01    2.24e-01    2.5e-04
    405      3.93e+00    3.54e+00      4.87e-03    6.00e-03      2.46e-01    2.21e-01    2.5e-04
    408      3.68e+00    3.62e+00      2.64e-03    3.25e-03      2.30e-01    2.26e-01    2.5e-04
    411      3.30e+00    3.61e+00      2.10e-03    3.59e-03      2.07e-01    2.26e-01    2.5e-04
    414      3.11e+00    3.52e+00      2.18e-03    1.61e-03      1.95e-01    2.21e-01    2.5e-04
    417      3.59e+00    3.62e+00      1.23e-04    1.93e-03      2.25e-01    2.26e-01    2.5e-04
    420      3.75e+00    3.56e+00      2.44e-03    2.11e-03      2.35e-01    2.23e-01    2.5e-04
    423      3.34e+00    3.58e+00      9.51e-04    1.68e-03      2.09e-01    2.24e-01    2.5e-04
    426      3.45e+00    3.62e+00      8.34e-04    2.37e-03      2.16e-01    2.27e-01    2.5e-04
    429      3.50e+00    3.55e+00      3.05e-04    2.15e-03      2.19e-01    2.22e-01    2.5e-04
    432      3.90e+00    3.51e+00      1.95e-03    3.06e-03      2.44e-01    2.20e-01    2.5e-04
    435      3.62e+00    3.54e+00      1.92e-05    2.04e-03      2.26e-01    2.22e-01    2.5e-04
    438      3.45e+00    3.51e+00      8.52e-04    1.45e-03      2.16e-01    2.20e-01    2.5e-04
    441      3.55e+00    3.51e+00      4.87e-03    2.60e-03      2.22e-01    2.20e-01    2.5e-04
    444      3.49e+00    3.51e+00      4.12e-03    2.52e-03      2.19e-01    2.20e-01    2.5e-04
    447      3.55e+00    3.63e+00      3.48e-03    2.92e-03      2.22e-01    2.27e-01    2.5e-04
    450      3.57e+00    3.51e+00      1.73e-03    3.04e-03      2.23e-01    2.20e-01    2.5e-04
    453      3.24e+00    3.51e+00      6.86e-05    1.48e-03      2.03e-01    2.19e-01    2.5e-04
    456      3.40e+00    3.55e+00      4.67e-03    3.57e-03      2.13e-01    2.22e-01    2.5e-04
    459      3.07e+00    3.51e+00      2.73e-03    3.98e-03      1.92e-01    2.19e-01    2.5e-04
    462      3.69e+00    3.55e+00      3.11e-03    4.70e-03      2.31e-01    2.22e-01    2.5e-04
    465      3.29e+00    3.57e+00      3.41e-03    5.71e-03      2.06e-01    2.23e-01    2.5e-04
    468      4.31e+00    3.53e+00      4.60e-03    5.94e-03      2.70e-01    2.21e-01    2.5e-04
    471      3.87e+00    3.59e+00      5.14e-03    6.41e-03      2.42e-01    2.24e-01    2.5e-04
    474      3.52e+00    3.53e+00      8.48e-03    5.79e-03      2.20e-01    2.21e-01    2.5e-04
    477      3.40e+00    3.46e+00      5.66e-03    5.58e-03      2.13e-01    2.17e-01    2.5e-04
    480      3.61e+00    3.47e+00      6.11e-03    6.72e-03      2.26e-01    2.17e-01    2.5e-04
    483      3.55e+00    3.54e+00      7.36e-03    9.12e-03      2.22e-01    2.21e-01    2.5e-04
    486      3.81e+00    3.51e+00      7.71e-03    9.73e-03      2.38e-01    2.20e-01    2.5e-04
    489      3.15e+00    3.51e+00      7.17e-03    1.01e-02      1.97e-01    2.20e-01    2.5e-04
    492      3.22e+00    3.49e+00      9.85e-03    7.63e-03      2.01e-01    2.18e-01    2.5e-04
    495      3.72e+00    3.58e+00      1.10e-02    7.22e-03      2.33e-01    2.24e-01    2.5e-04
    498      3.47e+00    3.48e+00      2.90e-03    6.20e-03      2.17e-01    2.18e-01    2.5e-04
    501      3.06e+00    2.91e+00      8.77e-03    6.41e-03      2.27e-01    2.16e-01    1.8e-04
    504      3.15e+00    2.89e+00      6.72e-03    7.39e-03      2.34e-01    2.14e-01    1.8e-04
    507      2.96e+00    2.94e+00      5.57e-03    5.30e-03      2.19e-01    2.18e-01    1.8e-04
    510      3.22e+00    2.93e+00      2.03e-03    2.38e-03      2.39e-01    2.18e-01    1.8e-04
    513      2.84e+00    2.96e+00      1.17e-03    1.89e-03      2.10e-01    2.20e-01    1.8e-04
    516      2.88e+00    2.96e+00      9.06e-04    2.69e-03      2.14e-01    2.19e-01    1.8e-04
    519      2.90e+00    2.92e+00      4.06e-03    3.37e-03      2.15e-01    2.17e-01    1.8e-04
    522      2.89e+00    2.92e+00      6.15e-03    4.33e-03      2.14e-01    2.16e-01    1.8e-04
    525      3.19e+00    2.92e+00      2.49e-03    4.36e-03      2.36e-01    2.17e-01    1.8e-04
    528      3.05e+00    2.88e+00      4.37e-03    3.11e-03      2.26e-01    2.14e-01    1.8e-04
    531      3.20e+00    2.94e+00      3.00e-03    1.77e-03      2.37e-01    2.18e-01    1.8e-04
